curso,no_ies,est,mun,val
MEDICINA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,9804.16
MEDICINA,"FACULDADE DE CI?CIAS HUMANAS,EXATAS E DA SA?E DO PIAU?",PI,Parna?a,8596.73
MEDICINA,FACULDADE DE CI?CIAS M?ICAS DA PARA?A,PB,Jo? Pessoa,8596.73
MEDICINA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,8596.66
MEDICINA,FACULDADE DE MEDICINA NOVA ESPERAN?,PB,Jo? Pessoa,8596
MEDICINA,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,8031.87
MEDICINA,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,7911.17
MEDICINA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,7163.95
NUTRI?O,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,7163.95
MEDICINA,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,7163.95
MEDICINA,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,7163.95
BIOMEDICINA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,7163.95
MEDICINA,FACULDADE S? FRANCISCO DE BARREIRAS - FASB,BA,Barreiras,7158.27
MEDICINA,Centro Universit?io FG,BA,Guanambi,7157.54
MEDICINA,UNIVERSIDADE POTIGUAR,RN,Natal,7090.54
FARM?CIA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,7000
MEDICINA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,6993.25
MEDICINA,FACULDADE DE ENFERMAGEM NOVA ESPERAN? DE MOSSOR?- FACENE/RN,PB,Jo? Pessoa,6971.95
MEDICINA,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,6949.03
MEDICINA,UNIVERSIDADE TIRADENTES,SE,Aracaju,6899
ENFERMAGEM,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,6822.02
MEDICINA,CENTRO UNIVERSIT?RIO UNINOVAFAPI,PI,Teresina,6737.16
MEDICINA,CENTRO UNIVERSIT?RIO CESMAC,AL,Macei?,6605.97
FISIOTERAPIA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,6181.25
MEDICINA,FACULDADE SANTA MARIA,PB,Cajazeiras,5863.64
FISIOTERAPIA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,5600
MEDICINA,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,5588
MEDICINA,FACULDADE PERNAMBUCANA DE SA?E,PE,Recife,5581.8
ODONTOLOGIA,Faculdade Paulo Pican?,CE,Fortaleza,5541.66
ODONTOLOGIA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,5469.07
ODONTOLOGIA,Centro Universit?io Fametro,CE,Fortaleza,5299.98
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,5296.8
FISIOTERAPIA,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,5211.93
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,5189.44
DIREITO,FACULDADE UNIME DE CI?CIAS JUR?ICAS,BA,Lauro de Freitas,5077
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,5000
ODONTOLOGIA,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,4889.91
ODONTOLOGIA,FACULDADE DELTA,BA,Salvador,4889
MEDICINA,ESCOLA BAHIANA DE MEDICINA E SA?E P?LICA,BA,Salvador,4800.66
FARM?CIA,FACULDADE DE JUAZEIRO DO NORTE,CE,Juazeiro do Norte,4793.93
ENFERMAGEM,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,4278.79
ODONTOLOGIA,Centro Universit?io Tiradentes de Pernambuco,PE,Recife,4224.74
