no_ies,est,mun,qtd
UNIVERSIDADE TIRADENTES,SE,Aracaju,2662
CENTRO UNIVERSIT?RIO INTA,CE,Sobral,1477
CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,1284
Centro Universit?io FG,BA,Guanambi,1154
CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1109
CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1104
CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,1073
FACULDADE DO SUL,BA,Lauro de Freitas,1005
CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,946
FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,928
FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,799
Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,782
CENTRO UNIVERSIT?RIO CESMAC,AL,Macei?,718
CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,700
INSTITUTO DE EDUCA?O SUPERIOR DA PARA?A,PB,Jo? Pessoa,657
FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,624
FACULDADE AN?IO TEIXEIRA DE FEIRA DE SANTANA,BA,Feira de Santana,623
CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,619
Centro Universit?io Fametro,CE,Fortaleza,610
FACULDADE DELTA,BA,Salvador,564
FACULDADE DE MEDICINA NOVA ESPERAN?,PB,Jo? Pessoa,544
FACULDADE SANTA MARIA,PB,Cajazeiras,537
UNIVERSIDADE CAT?ICA DO SALVADOR,BA,Salvador,515
CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,481
CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,471
CENTRO DE ENSINO SUPERIOR DE ILH?S,BA,Ilh?s,471
FACULDADE DE CAMPINA GRANDE,PB,Campina Grande,449
CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,439
