curso,est,mun,qtd
DIREITO,BA,Salvador,1449
DIREITO,SE,Aracaju,1114
ENFERMAGEM,BA,Salvador,801
PSICOLOGIA,BA,Salvador,739
MEDICINA,PB,Jo? Pessoa,724
FISIOTERAPIA,BA,Salvador,654
ENFERMAGEM,CE,Fortaleza,634
ENFERMAGEM,SE,Aracaju,624
DIREITO,PB,Jo? Pessoa,559
ENGENHARIA CIVIL,BA,Salvador,495
ODONTOLOGIA,BA,Salvador,478
DIREITO,BA,Feira de Santana,449
DIREITO,PI,Teresina,439
DIREITO,PB,Campina Grande,389
MEDICINA,BA,Salvador,388
ENGENHARIA CIVIL,SE,Aracaju,386
ODONTOLOGIA,SE,Aracaju,380
DIREITO,CE,Sobral,369
MEDICINA,SE,Aracaju,369
ENFERMAGEM,PE,Recife,360
ODONTOLOGIA,PB,Jo? Pessoa,344
DIREITO,AL,Macei?,343
DIREITO,BA,Guanambi,328
MEDICINA,PB,Campina Grande,320
DIREITO,BA,Lauro de Freitas,291
NUTRI?O,BA,Salvador,289
ENFERMAGEM,PI,Teresina,287
FISIOTERAPIA,CE,Fortaleza,283
ENFERMAGEM,PB,Jo? Pessoa,276
DIREITO,PE,Recife,269
DIREITO,MA,Caxias,263
ENGENHARIA CIVIL,PI,Teresina,260
ENFERMAGEM,PB,Campina Grande,257
ADMINISTRA?O,BA,Salvador,253
ENFERMAGEM,CE,Sobral,252
FISIOTERAPIA,BA,Lauro de Freitas,252
DIREITO,CE,Fortaleza,252
ODONTOLOGIA,PE,Recife,241
FISIOTERAPIA,BA,Feira de Santana,238
FISIOTERAPIA,PB,Campina Grande,234
PSICOLOGIA,SE,Aracaju,230
ENFERMAGEM,BA,Feira de Santana,219
ODONTOLOGIA,BA,Lauro de Freitas,218
ENGENHARIA CIVIL,PB,Jo? Pessoa,216
DIREITO,PB,Cajazeiras,213
ODONTOLOGIA,BA,Feira de Santana,213
MEDICINA,PE,Recife,213
ENFERMAGEM,AL,Macei?,209
ARQUITETURA E URBANISMO,SE,Aracaju,203
MEDICINA VETERIN?RIA,BA,Salvador,198
ARQUITETURA E URBANISMO,PB,Jo? Pessoa,192
DIREITO,BA,Ilh?s,189
ODONTOLOGIA,CE,Fortaleza,187
FISIOTERAPIA,SE,Aracaju,184
PSICOLOGIA,CE,Fortaleza,183
ENFERMAGEM,BA,Lauro de Freitas,183
PSICOLOGIA,BA,Lauro de Freitas,176
MEDICINA,PB,Cajazeiras,175
EDUCA?O F?ICA,BA,Salvador,170
DIREITO,MA,S? Lu?,169
ENFERMAGEM,MA,Caxias,168
MEDICINA,AL,Macei?,167
PSICOLOGIA,PI,Teresina,165
ENGENHARIA CIVIL,CE,Fortaleza,164
MEDICINA VETERIN?RIA,CE,Fortaleza,164
FARM?CIA,PE,Recife,161
PSICOLOGIA,CE,Sobral,161
BIOMEDICINA,BA,Salvador,161
MEDICINA,CE,Sobral,160
FISIOTERAPIA,PE,Recife,159
FARM?CIA,BA,Salvador,157
MEDICINA,PI,Teresina,156
DIREITO,BA,Teixeira de Freitas,152
MEDICINA,PB,Patos,152
FARM?CIA,PI,Teresina,152
ENGENHARIA CIVIL,BA,Lauro de Freitas,151
FARM?CIA,BA,Feira de Santana,150
ARQUITETURA E URBANISMO,BA,Lauro de Freitas,150
PSICOLOGIA,PE,Recife,149
DIREITO,PE,Olinda,148
FISIOTERAPIA,PB,Jo? Pessoa,143
ODONTOLOGIA,MA,S? Lu?,143
DIREITO,BA,Paulo Afonso,141
ARQUITETURA E URBANISMO,BA,Feira de Santana,139
ODONTOLOGIA,AL,Macei?,138
PSICOLOGIA,BA,Guanambi,138
FISIOTERAPIA,CE,Sobral,134
ENFERMAGEM,MA,S? Lu?,133
ODONTOLOGIA,BA,Ilh?s,132
PSICOLOGIA,BA,Feira de Santana,132
FISIOTERAPIA,BA,Santo Ant?io de Jesus,130
ENGENHARIA CIVIL,BA,Feira de Santana,128
ARQUITETURA E URBANISMO,BA,Salvador,127
NUTRI?O,BA,Feira de Santana,126
FARM?CIA,BA,Guanambi,124
DIREITO,PI,Piripiri,124
ENFERMAGEM,MA,Pa? do Lumiar,124
ENGENHARIA CIVIL,BA,Guanambi,122
ENFERMAGEM,CE,Juazeiro do Norte,122
DIREITO,CE,Aracati,119
FISIOTERAPIA,MA,Caxias,117
BIOMEDICINA,SE,Aracaju,116
PSICOLOGIA,PB,Jo? Pessoa,116
ODONTOLOGIA,PB,Patos,116
ADMINISTRA?O,CE,Fortaleza,112
ARQUITETURA E URBANISMO,CE,Juazeiro do Norte,112
FARM?CIA,PB,Cajazeiras,110
SERVI? SOCIAL,CE,Fortaleza,110
BIOMEDICINA,BA,Feira de Santana,109
ENGENHARIA CIVIL,CE,Sobral,109
ODONTOLOGIA,CE,Quixad?,108
NUTRI?O,SE,Aracaju,107
FISIOTERAPIA,BA,Guanambi,107
DIREITO,BA,Santo Ant?io de Jesus,104
FARM?CIA,CE,Fortaleza,104
DIREITO,PI,Picos,102
FARM?CIA,SE,Aracaju,101
ODONTOLOGIA,RN,Natal,101
PSICOLOGIA,BA,Irec?,100
DIREITO,PE,Caruaru,100
DIREITO,PE,Serra Talhada,99
MEDICINA,BA,Lauro de Freitas,97
ENFERMAGEM,RN,Natal,95
CI?CIAS CONT?BEIS,BA,Salvador,95
NUTRI?O,PE,Recife,95
ODONTOLOGIA,BA,Cruz das Almas,94
NUTRI?O,CE,Fortaleza,94
DIREITO,PB,Patos,93
DIREITO,RN,Natal,93
ENFERMAGEM,BA,Irec?,92
ENFERMAGEM,PI,Piripiri,92
ENGENHARIA CIVIL,CE,Juazeiro do Norte,91
EDUCA?O F?ICA,PB,Jo? Pessoa,91
ENFERMAGEM,BA,Alagoinhas,91
ENFERMAGEM,BA,Paulo Afonso,90
FARM?CIA,BA,Lauro de Freitas,89
MEDICINA VETERIN?RIA,CE,Sobral,89
ENFERMAGEM,BA,Guanambi,87
ENGENHARIA MEC?ICA,BA,Salvador,86
FARM?CIA,CE,Quixad?,85
FARM?CIA,CE,Juazeiro do Norte,84
ENFERMAGEM,PE,Jaboat? dos Guararapes,84
ARQUITETURA E URBANISMO,MA,Caxias,83
FISIOTERAPIA,CE,Aracati,82
MEDICINA VETERIN?RIA,BA,Feira de Santana,82
ENGENHARIA CIVIL,MA,Caxias,82
ADMINISTRA?O,SE,Aracaju,82
EDUCA?O F?ICA,CE,Fortaleza,82
DIREITO,MA,Imperatriz,81
PSICOLOGIA,PB,Patos,81
PSICOLOGIA,PE,Jaboat? dos Guararapes,79
ODONTOLOGIA,BA,Vit?ia da Conquista,79
ENFERMAGEM,CE,Aracati,78
ODONTOLOGIA,CE,Sobral,78
CI?CIAS CONT?BEIS,CE,Fortaleza,78
FISIOTERAPIA,RN,Natal,78
DIREITO,CE,Juazeiro do Norte,77
PSICOLOGIA,RN,Natal,77
DIREITO,PE,Timba?ba,77
FARM?CIA,MA,S? Lu?,77
ENFERMAGEM,CE,Crate?s,77
ENGENHARIA DE PRODU?O,CE,Fortaleza,76
ENGENHARIA EL?RICA,BA,Feira de Santana,76
ENGENHARIA CIVIL,PB,Cajazeiras,76
DIREITO,PE,Bel? do S? Francisco,75
ENFERMAGEM,PB,Cajazeiras,75
ENGENHARIA DE PRODU?O,SE,Aracaju,75
ENGENHARIA DE PRODU?O,BA,Salvador,75
ENFERMAGEM,BA,Ilh?s,74
ODONTOLOGIA,PI,Teresina,74
ENGENHARIA DE PRODU?O,BA,Lauro de Freitas,74
FISIOTERAPIA,CE,Juazeiro do Norte,74
ENFERMAGEM,PB,Patos,73
FISIOTERAPIA,PI,Teresina,73
ARQUITETURA E URBANISMO,PI,Teresina,73
MEDICINA VETERIN?RIA,SE,Aracaju,72
ENGENHARIA EL?RICA,BA,Salvador,72
ENGENHARIA CIVIL,AL,Macei?,72
CI?CIAS CONT?BEIS,PI,Teresina,71
ENGENHARIA MEC?ICA,BA,Alagoinhas,71
SERVI? SOCIAL,BA,Salvador,68
PEDAGOGIA,BA,Salvador,67
ENFERMAGEM,BA,Cruz das Almas,67
PSICOLOGIA,BA,Ilh?s,66
NUTRI?O,CE,Sobral,66
ENFERMAGEM,BA,Valen?,66
ENGENHARIA DE PETR?EO,SE,Aracaju,66
DIREITO,MA,Balsas,66
DIREITO,PI,Floriano,65
FISIOTERAPIA,PI,Piripiri,63
FARM?CIA,CE,Sobral,63
DIREITO,RN,Pau dos Ferros,63
ENGENHARIA MEC?ICA,BA,Lauro de Freitas,63
FISIOTERAPIA,PE,Jaboat? dos Guararapes,63
DIREITO,BA,Vit?ia da Conquista,63
FARM?CIA,PB,Jo? Pessoa,63
ENGENHARIA EL?RICA,SE,Aracaju,62
ENFERMAGEM,PE,Vit?ia de Santo Ant?,62
FARM?CIA,BA,Cruz das Almas,61
ENFERMAGEM,MA,Bacabal,59
CI?CIAS CONT?BEIS,SE,Aracaju,59
FARM?CIA,PB,Campina Grande,58
ADMINISTRA?O,BA,Lauro de Freitas,58
NUTRI?O,PB,Patos,58
ARQUITETURA E URBANISMO,PB,Cajazeiras,58
PSICOLOGIA,PE,Olinda,58
ENGENHARIA CIVIL,PE,Recife,57
DIREITO,PB,Cabedelo,56
ADMINISTRA?O,PE,Recife,56
DIREITO,PE,Vit?ia de Santo Ant?,56
ARQUITETURA E URBANISMO,CE,Sobral,55
NUTRI?O,CE,Juazeiro do Norte,55
ADMINISTRA?O,BA,Juazeiro,55
PSICOLOGIA,CE,Juazeiro do Norte,55
FISIOTERAPIA,PE,Caruaru,54
PSICOLOGIA,PE,Bel? do S? Francisco,53
MEDICINA VETERIN?RIA,PE,Jaboat? dos Guararapes,53
DIREITO,BA,Barreiras,53
FISIOTERAPIA,AL,Macei?,52
EDUCA?O F?ICA,PI,Teresina,52
ARQUITETURA E URBANISMO,RN,Natal,52
MEDICINA VETERIN?RIA,PE,Recife,51
PSICOLOGIA,CE,Crate?s,51
FARM?CIA,PI,Floriano,51
PEDAGOGIA,MA,Pa? do Lumiar,50
PSICOLOGIA,AL,Macei?,50
ENGENHARIA DE PRODU?O,PI,Teresina,50
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,SE,Aracaju,50
CI?CIAS CONT?BEIS,CE,Juazeiro do Norte,50
PSICOLOGIA,PB,Campina Grande,49
FARM?CIA,MA,Bacabal,48
NUTRI?O,PB,Cajazeiras,48
FARM?CIA,PI,Piripiri,48
ENFERMAGEM,PE,Serra Talhada,48
ENFERMAGEM,BA,Santo Ant?io de Jesus,48
BIOMEDICINA,PE,Recife,48
FISIOTERAPIA,PE,Vit?ia de Santo Ant?,47
ADMINISTRA?O,BA,Feira de Santana,46
